,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,,0.0
1,1,0,0,False,True,,0.0
2,3,0,0,False,True,,0.0
3,4,0,0,False,True,,0.0
4,6,0,0,False,True,,0.0
5,7,0,0,False,True,,0.0
6,8,0,1,False,False,,0.0
7,9,0,0,False,True,,0.0
8,10,0,0,False,True,,0.0
9,11,0,0,False,True,,0.0
10,12,0,0,False,True,,0.0
11,13,0,1,False,False,,0.0
12,14,0,0,False,True,,0.0
13,15,0,1,False,False,,0.0
14,16,0,1,False,False,,0.0
15,17,0,0,False,True,,0.0
16,18,0,0,False,True,,0.0
17,19,0,0,False,True,,0.0
18,20,0,0,False,True,,0.0
19,21,0,0,False,True,,0.0
20,23,0,1,True,False,,0.0
21,24,0,0,False,True,,0.0
22,25,0,1,True,False,,0.0
23,26,0,1,False,False,,0.0
24,27,0,0,False,True,,0.0
25,28,0,1,True,False,,0.0
26,29,0,1,False,False,,0.0
27,30,0,0,False,True,,0.0
28,31,0,1,False,False,,0.0
29,32,0,0,False,True,,0.0
30,33,0,0,False,True,,0.0
31,34,1,1,True,True,-0.06666666666666665,0.5865884600854132
32,35,0,0,False,True,,0.0
33,36,0,0,False,True,,0.0
34,37,0,0,False,True,,0.0
35,38,0,0,False,True,,0.0
36,39,0,0,False,True,,0.0
37,40,0,0,False,True,,0.0
38,41,1,1,True,True,-0.4666666666666666,0.7807200583588266
39,42,0,0,False,True,,0.0
40,43,0,0,False,True,,0.0
41,44,0,0,False,True,,0.0
42,45,0,1,False,False,,0.0
43,46,0,0,True,True,,0.0
44,47,0,1,False,False,,0.0
45,48,0,0,False,True,,0.0
46,49,0,1,False,False,,0.0
