,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.8666666666666666,0.8970401159532518
1,1,0,0,False,True,0.8666666666666666,0.7280440075456133
2,2,0,0,False,True,0.6,0.9751728395878438
3,3,0,0,True,True,0.7333333333333333,0.7667636592760195
4,4,0,0,False,True,0.8666666666666666,0.7757691249335698
5,6,0,0,False,True,-0.3333333333333333,0.24040644414247483
6,7,0,0,False,True,-0.06666666666666665,0.06995454431449524
7,8,0,0,False,True,0.06666666666666665,0.42077751308174016
8,9,0,0,False,True,0.3333333333333333,0.9245283018867925
9,10,0,0,False,True,-0.06666666666666665,0.753007470562703
10,11,0,0,False,True,0.9999999999999999,1.0
11,13,0,0,False,True,,0.0
12,14,0,0,False,True,0.7333333333333333,0.9239303415761111
13,15,0,0,False,True,0.8666666666666666,0.9969839217789148
14,17,0,0,False,True,-0.3333333333333333,0.41725061443820183
15,18,0,0,False,True,0.8666666666666666,0.9879104606133596
16,19,0,0,False,True,0.9999999999999999,0.800142437462181
